auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,10.0,"Dark Island Reserve is a strong and full Orcadian Ale - lagered for 3 month in old Dalmore whiskey oakbarrals. This slow proscess makes a classic - a fruity, spiced, oakroasted maltflavour.",0,https://untappd.akamaized.net/site/beer_logos/beer-_14156_sm_6df5ac01a6aa4f4866c93220dc37dd.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-_14156_hd_3a3db6edfbe7dbb42869ee61d127b6.jpeg,Dark Island Reserve (2008),orkney-brewery-sinclair-breweries-dark-island-reserve-2008,Scotch Ale / Wee Heavy,14156,953,https://untappd.akamaized.net/site/brewery_logos/brewery-OrkneyBrewery_953.jpeg,Orkney Brewery,orkney-brewery,Micro Brewery,https://www.facebook.com/groups/71130369684,OrkneyBrewery,http://www.sinclairbreweries.co.uk,Scotland,Stromness,Orkney Islands,59.0698,-3.314,,,"Sat, 11 Dec 2010 10:21:06 +0000",0,0,,,,62,3.90323,,0,87,86,0,,,,,,10.0,Dark Island Reserve,orkney-brewery-dark-island-reserve,577043.0,218.0,,,3.69311,False
0,6.3,"A deep and chocolaty stout with a cooling minty finish. Commonly hailed to as ""thin mints in a glass."" Made with locally grown biodynamic Mint.",0,https://untappd.akamaized.net/site/beer_logos/beer-109970_d08e9_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-109970_bf7dc_hd.jpeg,Naughty Girl Stout,right-brain-brewery-naughty-girl-stout,Stout - American,109970,3744,https://untappd.akamaized.net/site/brewery_logos/brewery-RightBrainBrewery_3744.jpeg,Right Brain Brewery,right-brain-brewery,Micro Brewery,http://www.facebook.com/pages/Right-Brain-Brewery/7579541007,rightbrainbrew,http://www.rightbrainbrewery.com,United States,Traverse City,MI,44.7493,-85.6207,,,"Sat, 17 Dec 2011 14:07:49 +0000",0,1,109970.0,"Mon, 26 Nov 2012 19:59:46 +0000",14157.0,7638,3.61368,,164,10291,8376,0,,,,,,,,,,,2.0,"[{'beer': {'bid': 1389361, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1389361_fb0f2_sm.jpeg', 'beer_slug': 'right-brain-brewery-naughty-girl-stout-2015', 'beer_name': 'Naughty Girl Stout (2015)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1421563, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1421563_b042d_sm.jpeg', 'beer_slug': 'right-brain-brewery-naughty-girl-scout-2016', 'beer_name': 'Naughty Girl Scout (2016)', 'is_vintage': 1, 'is_variant': 0}}]",3.6151,False
0,5.61,"We brew up a tasty batch of our spiced Christmas ale annually to celebrate this most festive of seasons. Every year our brewers change up the spices to showcase new ideas and keep things interesting. This season we used a combination of cardamom, cloves, and cinnamon to put a cheery winter twist in every pint.",21,https://untappd.akamaized.net/site/beer_logos/beer-EdgeCityChristmasAle_14158.jpeg,,Christmas Ale,bristol-brewing-company-christmas-ale,Winter Warmer,14158,4247,https://untappd.akamaized.net/site/brewery_logos/brewery-BristolBrewingCompany_4247.jpeg,Bristol Brewing Company,bristol-brewing-company,Micro Brewery,http://www.facebook.com/BristolBrewing?ref=ts,BristolBrewing,http://www.bristolbrewing.com/,United States,Colorado Springs,CO,38.8109,-104.827,,,"Sat, 11 Dec 2010 10:23:24 +0000",0,1,,,,808,3.68038,,1,1037,911,0,,,,,,,,,,,0.0,[],3.6723,False
0,4.2,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Where's My Light Saber? (Ocean Beach),pizza-port-brewing-co-where-s-my-light-saber-ocean-beach,Stout - Irish Dry,25712,1534,https://untappd.akamaized.net/site/brewery_logos/brewery-1534_f0f6d.jpeg,Pizza Port Brewing Co.,pizza-port-brewing-co,Micro Brewery,http://www.facebook.com/pages/Pizza-Port/18371767981,pizzaportbeer,http://www.pizzaport.com,United States,Carlsbad,CA,33.1596,-117.348,,,"Sat, 22 Jan 2011 00:13:36 +0000",0,1,25712.0,"Sat, 26 Nov 2011 16:33:44 +0000",14159.0,627,3.57456,,0,810,760,0,,,,,,,,,,,0.0,[],3.59925,False
0,7.2,"Bask in the head?s floral bouquet. Relish citrus accents from dry hopping. Sweet, yet balanced, with a finish that never turns too bitter.",65,https://untappd.akamaized.net/site/beer_logos/beer-1456_a771f_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-1456_6a79d_hd.jpeg,Centennial IPA,founders-brewing-co-centennial-ipa,IPA - American,1456,549,https://untappd.akamaized.net/site/brewery_logos/brewery-foundersbrewingcompany_549.jpeg,Founders Brewing Co.,founders-brewing-co,Micro Brewery,http://www.facebook.com/foundersbrewing,foundersbrewing,http://www.foundersbrewing.com/,United States,Grand Rapids,MI,42.9585,-85.6735,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,1456.0,"Thu, 01 Jan 1970 00:00:00 +0000",14160.0,182289,3.8051,,3104,352278,201869,0,,,,,,,,,,,5.0,"[{'beer': {'bid': 559546, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1456_a771f_sm.jpeg', 'beer_slug': 'founders-brewing-co-centennial-ipa-2013', 'beer_name': 'Centennial IPA (2013)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 796238, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1456_a771f_sm.jpeg', 'beer_slug': 'founders-brewing-co-centennial-ipa-2014', 'beer_name': 'Centennial IPA (2014)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1084146, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1456_a771f_sm.jpeg', 'beer_slug': 'founders-brewing-co-centennial-ipa-2015', 'beer_name': 'Centennial IPA (2015)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1400840, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-1456_a771f_sm.jpeg', 'beer_slug': 'founders-brewing-co-centennial-ipa-with-lemon-peel-and-chamomile', 'beer_name': 'Centennial IPA with Lemon Peel and Chamomile', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1401707, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'founders-brewing-co-centennial-ipa-w-lemon-peel-and-chamomile-flowers-acat', 'beer_name': 'Centennial IPA (w/ Lemon Peel And Chamomile Flowers) ACAT', 'is_vintage': 0, 'is_variant': 1}}]",3.80484,False
0,8.0,"Our Irish-Style Extra Stout pours black and is an amped-up version of a traditional dry stout.  The addition of both roasted barley and Dark Crystal malted barley give Extra Stout undertones of chocolate, molasses and dried fruit.  The beer is generously hopped with East Kent Goldings to balance the sweetness from the malted barley.",45,https://untappd.akamaized.net/site/beer_logos/beer-14161_b72be_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-14161_b2189_hd.jpeg,Irish-Style Extra Stout,schlafly-the-saint-louis-brewery-irish-style-extra-stout,Stout - Foreign / Export,14161,1092,https://untappd.akamaized.net/site/brewery_logos/brewery-schlaflybeerthesaintlouisbrewery_1092.jpeg,Schlafly - The Saint Louis Brewery,schlafly-the-saint-louis-brewery,Micro Brewery,http://www.facebook.com/schlaflybeer,schlafly,http://www.schlafly.com,United States,Saint Louis,MO,38.633,-90.2098,,,"Sat, 11 Dec 2010 10:34:36 +0000",0,1,,,,12260,3.7852,,37,19462,13686,0,,,,,,,,,,,0.0,[],3.78194,False
0,4.8,,0,https://untappd.akamaized.net/site/beer_logos/beer-67934_381f4_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-67934_cf7b2_hd.jpeg,Moe's Backroom Lager,tap-room-no-21-brewing-moe-s-backroom-lager,Lager - Pale,67934,202187,https://untappd.akamaized.net/site/brewery_logos/brewery-202187_c9d3a.jpeg,Tap Room No. 21 Brewing,tap-room-no-21-brewing,Micro Brewery,,,http://www.taproom21.com,United States,Novato,CA,38.0739,-122.543,,,"Sat, 30 Jul 2011 09:41:51 +0000",0,1,67934.0,"Wed, 23 May 2012 08:18:53 +0000",14162.0,432,3.21528,,0,742,575,0,,,,,,,,,,,0.0,[],3.3949,False
0,4.7,"A complex, pale bronze multigrain beer made with pale barley malts, combined with wheat, oats, rye then hopped with Phoenix and Target varieties. The superb aroma is dominated by a tart ""orange and lemon slices"" fruitiness, with a bready note from the rye. The wonderfully quenching palate has citrus fruit, rich, chewy malt and gentle hop resins, followed by a dry, fruity and biscuity finish.",0,https://untappd.akamaized.net/site/beer_logos/beer-31035_17d54_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-31035_53017_hd.jpeg,Combined Harvest,batemans-combined-harvest,Pale Ale - English,31035,8151,https://untappd.akamaized.net/site/brewery_logos/brewery-Batemans_8151_67ceb.jpeg,Batemans,batemans,Micro Brewery,Batemans Brewery,batemansbrewery,https://www.bateman.co.uk/our+brewery,England,"Wainfleet All Saints, Wainfleet",Lincolnshire,53.1044,0.232227,,,"Wed, 16 Feb 2011 22:23:35 +0000",0,1,31035.0,"Thu, 01 Jan 1970 00:00:00 +0000",14163.0,2211,3.42763,,18,2769,2467,0,,,,,,,,,,,0.0,[],3.4547,False
0,9.0,"Southern Tier Iniquity is an Imperial Black?IPA, which is also called an Imperial India Brown Ale. This is a style that seems to be increasing in popularity. The hexagram talisman has been used around the world for centuries to invoke magic and good luck. Wishes of good fortune often collaborate with the brewer?s creative to yield dramatic results. We carefully chose the name for this Imperial?IBA, Iniquity ? a word opposing goodness. Why? This beer is contrary to what one might expect from an?IPA; this is an ale as black as night. It is the antithesis of Unearthly. Some may consider it an immoral act to blacken an ale. We suggest they don?t rely on conventional standards. Allow the darkness to consume you. Iniquity weighs in at 9% alcohol by volume. It uses four different hops and 2-row pale malt along with debittered black malt in it?s brewing.",60,https://untappd.akamaized.net/site/beer_logos/beer-5179_11ed0_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-5179_9a940_hd.jpeg,Iniquity Imperial Black Ale (IBA),southern-tier-brewing-company-iniquity-imperial-black-ale-iba,IPA - Imperial / Double Black,5179,4586,https://untappd.akamaized.net/site/brewery_logos/brewery-4586_47eba.jpeg,Southern Tier Brewing Company,southern-tier-brewing-company,Micro Brewery,http://www.facebook.com/SouthernTierBrewingCompany,stbcbeer,http://www.stbcbeer.com/,United States,Lakewood,NY,42.0889,-79.3482,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,0,5179.0,"Sat, 21 Jan 2012 11:16:35 +0000",14164.0,13573,3.83519,,9,19384,15531,0,,,,,,,,,,,0.0,[],3.83114,False
0,12.8,,0,https://untappd.akamaized.net/site/beer_logos/beer-StonewallAle_14165.jpeg,,Stonewall Ale,stone-brewing-co-stonewall-ale,Barleywine - American,14165,1204,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_23541.jpeg,Stone Brewing,stone-brewing,Micro Brewery,http://www.facebook.com/StoneBrewingCo,StoneBrewingCo,http://www.stonebrewing.com/,United States,Escondido,CA,33.1157,-117.12,,,"Sat, 11 Dec 2010 10:39:32 +0000",0,1,,,,538,4.19656,,1,823,696,0,,,,,,,,,,,0.0,[],3.99865,False
