auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,6.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Industrial Pale Ale,dave-s-electric-brewpub-industrial-pale-ale,IPA - American,14651,2867,https://untappd.akamaized.net/site/brewery_logos/brewery-DavesElectricBrewpub_2867.jpeg,Dave's Electric Brewpub,daves-electric-brewpub,Micro Brewery,http://www.facebook.com/DavesElectricBrewpub,electricbrew,daveselectricbrewpub.com,United States,Bisbee,AZ,31.3971,-109.93,,,"Tue, 14 Dec 2010 07:30:46 +0000",0,0,,,,136,3.01287,0,194,171,0,,,,,,,0.0,[],3.45348,False
0,7.8,"A unique twist to an Old English recipe, the Silenus is deep mahogany in color and fills the palette with a rich malt body and faint cherry & cocoa undertones. Dominated by fuggles hops and 5 different malts this is a beer that Old Silenus can be proud of! abv: 6.3% ibu?s: 75",75,https://untappd.akamaized.net/site/beer_logos/beer-OldSilenus_14652.jpeg,,Old Silenus,migration-brewing-old-silenus,Old Ale,14652,4838,https://untappd.akamaized.net/site/brewery_logos/brewery-MigrationBrewing_4838.jpeg,Migration Brewing,migration-brewing,Micro Brewery,http://www.facebook.com/pages/Portland-OR/Migration-Brewing-Company/88186975188?ref=nf,MigrationBrew,http://www.migrationbrewing.com/,United States,Portland,OR,45.5262,-122.636,,,"Tue, 14 Dec 2010 07:33:05 +0000",0,1,,,,862,3.66647,12,1105,973,0,,,,,,,0.0,[],3.6624,False
0,4.5,Strong dark beer. 4.5%.,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Undertaker,wincle-beer-co-undertaker,English Bitter,14653,3838,https://untappd.akamaized.net/site/brewery_logos/brewery-WincleBeerCo_3838.jpeg,Wincle Beer Co.,wincle-beer-co,Micro Brewery,http://www.facebook.com/pages/Wincle-Beer-Company-Ltd/267405919951899,WincleBeerCo,http://www.winclebeer.co.uk,England,Wincle,"Cheshire, SK11 0QE",53.1838,-2.05679,,,"Tue, 14 Dec 2010 07:33:15 +0000",0,1,,,,67,3.41791,1,91,77,0,,,,,,,0.0,[],3.609,False
0,4.8,,32,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Pale Ale,john-harvard-s-brew-house-pale-ale,Pale Ale - American,6628,16871,https://untappd.akamaized.net/site/brewery_logos/brewery-johnharvardsbrewhouse_16871.jpeg,John Harvard's Brew House,john-harvard-s-brew-house,Brew Pub,http://www.facebook.com/pages/John-Harvards-Brew-House-Cambridge/107215242668910,JHBrewer_Riley,http://www.johnharvards.com,United States,Cambridge,MA,42.3724,-71.1193,,,"Mon, 18 Oct 2010 08:20:53 +0000",0,1,6628.0,"Thu, 01 Jan 1970 00:00:00 +0000",14654.0,994,3.29351,2,1380,1194,0,,,,,,,0.0,[],3.3776,False
0,11.0,"Single hopped with Nelson Sauvin and 100 Munich malt.

Aged in French Oak barrels.",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,The Woodwork Series French Oak,revelation-cat-craft-brewing-the-woodwork-series-french-oak,IPA - Imperial / Double,14655,5567,https://untappd.akamaized.net/site/brewery_logos/brewery-RevelationCatCraftBrewing_5567.jpeg,Revelation Cat Craft Brewing,revelation-cat-craft-brewing,Micro Brewery,http://www.facebook.com/RevelationCat,,http://www.impexbeer.com/index.php?option=com_content&view=article&id=65&Itemid=76&lang=en,Italy,Roma,RM,41.8237,12.4793,,,"Tue, 14 Dec 2010 08:14:15 +0000",0,0,,,,115,3.81087,0,153,150,0,,,,,,,0.0,[],3.69132,False
0,0.0,Homebrew,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,I95 IPA,central-street-farmhouse-i95-ipa,IPA - American,14657,3841,https://untappd.akamaized.net/site/brewery_logos/brewery-3841_bb027.jpeg,Central Street Farmhouse,central-street-farmhouse,Micro Brewery,,,www.centralstreetfarmhouse.com,United States,Bangor,ME,44.8021,-68.7715,,,"Tue, 14 Dec 2010 08:39:09 +0000",0,1,,,,0,0.0,0,1,1,0,,,,,,,0.0,[],3.59537,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Chocolate Oatmeal Stout,central-street-farmhouse-chocolate-oatmeal-stout,Stout - American,14658,3841,https://untappd.akamaized.net/site/brewery_logos/brewery-3841_bb027.jpeg,Central Street Farmhouse,central-street-farmhouse,Micro Brewery,,,www.centralstreetfarmhouse.com,United States,Bangor,ME,44.8021,-68.7715,,,"Tue, 14 Dec 2010 08:41:34 +0000",0,1,,,,1,0.0,0,17,4,0,,,,,,,0.0,[],3.57953,False
0,8.5,"Truly a worldly beer. Baltic Thunder represents the Baltic Porter style admirably. Exhibiting the enticing, toffee roast of the British porter that originated the style in the 18th century, and the soothing, subtle fruit nuance of contemporary brews that flourish from Helsinki to Vilnius today, this dark lager honors the Baltic god of thunder.  Created by an inspired collaboration of brewers and tempered with a touch of turmoil, Baltic Thunder rolls on to bring you enchanting light as the darkness fades.",0,https://untappd.akamaized.net/site/beer_logos/beer-3971_d67bb_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-3971_07e70_hd.jpeg,Baltic Thunder,victory-brewing-company-baltic-thunder,Porter - Baltic,3971,1326,https://untappd.akamaized.net/site/brewery_logos/brewery-1326_6ca88.jpeg,Victory Brewing Company,victory-brewing-company,Micro Brewery,https://www.facebook.com/victorybeer,VictoryBeer,http://victorybeer.com/,United States,Downingtown,PA,40.0061,-75.6942,,,"Sat, 21 Aug 2010 09:26:35 +0000",0,1,3971.0,"Thu, 01 Jan 1970 00:00:00 +0000",14659.0,2920,3.77877,2,4211,3634,0,,,,,,,4.0,"[{'beer': {'bid': 280468, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-280468_5dad9_sm.jpeg', 'beer_slug': 'victory-brewing-company-baltic-thunder-2007', 'beer_name': 'Baltic Thunder (2007)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 484770, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-484770_0aefe_sm.jpeg', 'beer_slug': 'victory-brewing-company-baltic-thunder-2008', 'beer_name': 'Baltic Thunder (2008)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 516279, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-516279_1f3a3_sm.jpeg', 'beer_slug': 'victory-brewing-company-baltic-thunder-2012', 'beer_name': 'Baltic Thunder (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 565687, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-565687_f17fd_sm.jpeg', 'beer_slug': 'victory-brewing-company-baltic-thunder-2013', 'beer_name': 'Baltic Thunder (2013)', 'is_vintage': 1, 'is_variant': 0}}]",3.76662,False
0,5.4,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Organic Dread Brown Ale,santa-cruz-mountain-brewing-organic-dread-brown-ale,Brown Ale - American,14660,3731,https://untappd.akamaized.net/site/brewery_logos/brewery-SantaCruzMountainBrewing_3731.jpeg,Santa Cruz Mountain Brewing,santa-cruz-mountain-brewing,Micro Brewery,http://www.facebook.com/pages/Santa-Cruz-Mountain-Brewing/59113986812?sk=info,scmbrewing,http://www.santacruzmountainbrewing.com/,United States,Santa Cruz,CA,36.9587,-122.049,,,"Tue, 14 Dec 2010 09:11:07 +0000",0,1,,,,1021,3.38369,14,1282,1162,0,,,,,,,0.0,[],3.44515,False
0,9.5,,0,https://untappd.akamaized.net/site/beer_logos/beer-dfhPoppaskull.jpg,,Poppaskull,collaboration-three-floyds-dogfish-head-poppaskull,Belgian Strong Golden Ale,9812,459,https://untappd.akamaized.net/site/brewery_logos/brewery-459_b3e4d.jpeg,Dogfish Head Craft Brewery,dogfish-head-craft-brewery,Micro Brewery,http://www.facebook.com/dogfishheadbeer,dogfishbeer,http://www.dogfish.com/,United States,Milton,DE,38.7776,-75.3099,1.0,"[{'brewery': {'brewery_id': 2470, 'brewery_name': '3 Floyds Brewing Company', 'brewery_type': 'Micro Brewery', 'brewery_label': 'https://untappd.akamaized.net/site/brewery_logos/brewery-2470_90eff.jpeg', 'country_name': 'United States', 'location': {'brewery_city': 'Munster', 'brewery_state': 'IN'}}}]","Thu, 18 Nov 2010 12:55:24 +0000",0,1,9812.0,"Thu, 01 Jan 1970 00:00:00 +0000",14661.0,754,3.84383,0,1349,1206,0,,,,,,,0.0,[],3.78815,False
