auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,variant_parent.beer.beer_abv,variant_parent.beer.beer_name,variant_parent.beer.beer_slug,variant_parent.beer.bid,variant_parent.beer.type_id,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.3,,0,https://untappd.akamaized.net/site/beer_logos/beer-LandbierMarzen_23171.jpeg,,Ahornberger Landbier M?rzen,ahornberger-landbrauerei-strossner-brau-ahornberger-landbier-marzen,M?rzen,23171,121874,https://untappd.akamaized.net/site/brewery_logos/brewery-121874_417d4.jpeg,Frankenw?lder Brauhaus,frankenwalder-brauhaus,Micro Brewery,,,http://frankenwaelder-brauhaus.de/shop/index.php/,Germany,Naila,95119,50.3274,11.7116,"Sun, 09 Jan 2011 12:30:45 +0000",0,1,,,,41,3.39024,,0,47,44,0,,,,,,,,,,,0.0,[],3.6193,False
0,8.2,,0,https://untappd.akamaized.net/site/beer_logos/beer-23172_3c3ec_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-23172_63d91_hd.jpeg,Double Hop,wintercoat-double-hop,IPA - Imperial / Double,23172,4632,https://untappd.akamaized.net/site/brewery_logos/brewery-4632_62305.jpeg,WinterCoat ,wintercoat,Micro Brewery,,,http://www.wintercoat.dk/,Denmark,Sabro,,56.208,10.0597,"Sun, 09 Jan 2011 12:32:13 +0000",0,1,,,,172,3.12064,,1,227,213,0,,,,,,,,,,,0.0,[],3.45971,False
0,4.9,,0,https://untappd.akamaized.net/site/beer_logos/beer-LandbierDunkel_23173.jpeg,,Ahornberger Landbier Dunkel / B?rentrunk,frankenwalder-brauhaus-ahornberger-landbier-dunkel-barentrunk,Lager - Dunkel Munich,23173,121874,https://untappd.akamaized.net/site/brewery_logos/brewery-121874_417d4.jpeg,Frankenw?lder Brauhaus,frankenwalder-brauhaus,Micro Brewery,,,http://frankenwaelder-brauhaus.de/shop/index.php/,Germany,Naila,95119,50.3274,11.7116,"Sun, 09 Jan 2011 12:32:39 +0000",0,1,,,,128,3.27148,,4,156,142,0,,,,,,,,,,,0.0,[],3.53879,False
0,4.8,,0,https://untappd.akamaized.net/site/beer_logos/beer-LandbierWurzig_23174.jpeg,,Ahornberger Landbier W?rzig,ahornberger-landbrauerei-strossner-brau-ahornberger-landbier-wurzig,Lager - Helles,23174,121874,https://untappd.akamaized.net/site/brewery_logos/brewery-121874_417d4.jpeg,Frankenw?lder Brauhaus,frankenwalder-brauhaus,Micro Brewery,,,http://frankenwaelder-brauhaus.de/shop/index.php/,Germany,Naila,95119,50.3274,11.7116,"Sun, 09 Jan 2011 12:34:10 +0000",0,1,,,,125,3.43,,3,142,134,0,,,,,,,,,,,0.0,[],3.58671,False
0,5.6,"Our award winning Porter bridges the gap between malty brown ales and heavily roasted stouts. Notes of chocolate, coffee and roasted barley are offset with just a slight hop bitterness. Enjoy any time of the year.

",27,https://untappd.akamaized.net/site/beer_logos/beer-23175_849dc_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-23175_0c0d8_hd.jpeg,Porter,bell-s-brewery-porter,Porter - American,23175,2507,https://untappd.akamaized.net/site/brewery_logos/brewery-2507_ad044.jpeg,Bell's Brewery,bell-s-brewery,Micro Brewery,https://www.facebook.com/bellsbeer/,BellsBrewery,http://www.bellsbeer.com/,United States,Galesburg,MI,42.2917,-85.5872,"Sun, 09 Jan 2011 12:43:35 +0000",0,1,,,,51972,3.7289,,861,73672,57782,0,,,,,,,,,,,5.0,"[{'beer': {'bid': 491681, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'bell-s-brewery-inc-porter-2005', 'beer_name': 'Porter (2005)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 799840, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'bell-s-brewery-inc-pumpkin-spice-porter', 'beer_name': 'Pumpkin Spice Porter', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1272053, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'bell-s-brewery-porter-with-dark-chocolate-and-coffee-on-cask', 'beer_name': 'Porter With Dark Chocolate And Coffee On Cask', 'is_vintage': 0, 'is_variant': 1}}, {'beer': {'bid': 1359761, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'bell-s-brewery-inc-porter-2015', 'beer_name': 'Porter (2015)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1651898, 'beer_label': 'https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png', 'beer_slug': 'bell-s-brewery-porter-2016', 'beer_name': 'Porter (2016)', 'is_vintage': 1, 'is_variant': 0}}]",3.72845,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,La Bi?re des Collines Saison,brasserie-des-geants-brasserie-des-legendes-la-biere-des-collines-saison,Saison / Farmhouse Ale,23176,3441,https://untappd.akamaized.net/site/brewery_logos/brewery-BrasserieDesGeantsBrasseriedesLegendes_3441_adc07.jpeg,Brasserie Des G?ants (Brasserie des L?gendes),brasserie-des-geants-brasserie-des-legendes,Micro Brewery,,,http://www.brasseriedeslegendes.be,Belgium,Irchonwelz,Hainaut,50.6212,3.75968,"Sun, 09 Jan 2011 12:49:16 +0000",0,1,,,,36,3.22917,,0,49,47,0,,,,,,,,,,,0.0,[],3.59145,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Stigmata,cochrane-homebrew-stigmata,Red Ale - Imperial / Double,23177,16325,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Cochrane Homebrew,cochrane-homebrew,Home Brewery,,,,United States,,TX,0.0,0.0,"Sun, 09 Jan 2011 13:00:55 +0000",1,1,,,,2,0.0,,0,7,3,0,,,,,,,,,,,0.0,[],1.893,False
0,5.2,Same refreshing German Style Hefe we've made for 7 springs now. More on it's yummy factor later.,0,https://untappd.akamaized.net/site/beer_logos/beer-HighPlainsHefe_23178.jpeg,,High Plains Hefe,silver-moon-brewing-high-plains-hefe,Hefeweizen,23178,3860,https://untappd.akamaized.net/site/brewery_logos/brewery-3860_52a67.jpeg,Silver Moon Brewing,silver-moon-brewing,Brew Pub,https://www.facebook.com/SilverMoonBeer,silvermoonbeer,http://www.silvermoonbrewing.com,United States,Bend,OR,44.0601,-121.308,"Sun, 09 Jan 2011 13:03:07 +0000",0,1,,,,34,3.35294,,0,53,48,0,,,,,,,,,,,0.0,[],3.56918,False
0,9.0,"The Prior is the leader of a smaller abbey community. He?s the ?primo inter pares? (the first among equals).

With its 9 % this dark ale with has a bitter sweet taste due to the roasted malt. A slightly creamy body, with an aroma of roasted malt, yeast, caramel, & toffee; Flavor of roasted sweet malt, yeast, rich caramel, light fruit, raisons, and some spice
The hoppy characteristics of all the Watou ales are prominently present, to be recognized by a persistent creamy foam

Our Prior is refermented in the bottle, only good to drink after a few months aging, which is done at the brewery, and ready to be aged and enjoyed for many years.
",0,https://untappd.akamaized.net/site/beer_logos/beer-23181_4c7ad_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-23181_1571c_hd.jpeg,Kapittel Prior,brouwerij-van-eecke-kapittel-prior,Belgian Strong Dark Ale,23181,301,https://untappd.akamaized.net/site/brewery_logos/brewery-BrouwerijVanEecke_301.jpeg,Brouwerij Van Eecke,brouwerij-van-eecke,Macro Brewery,,,http://www.brouwerijvaneecke.be,Belgium,8978 Watou,,50.8587,2.62113,"Sun, 09 Jan 2011 13:18:05 +0000",0,1,23181.0,"Thu, 01 Jan 1970 00:00:00 +0000",23179.0,5257,3.5078,,153,6218,5702,0,,,,,,,,,,,5.0,"[{'beer': {'bid': 746339, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-23181_4c7ad_sm.jpeg', 'beer_slug': 'brouwerij-van-eecke-kapittel-prior-1993', 'beer_name': 'Kapittel Prior (1993)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 938416, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-23181_4c7ad_sm.jpeg', 'beer_slug': 'brouwerij-van-eecke-kapittel-prior-2007', 'beer_name': 'Kapittel Prior (2007)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1120181, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-23181_4c7ad_sm.jpeg', 'beer_slug': 'brouwerij-van-eecke-kapittel-prior-2001', 'beer_name': 'Kapittel Prior (2001)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1159622, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-23181_4c7ad_sm.jpeg', 'beer_slug': 'brouwerij-van-eecke-kapittel-prior-2012', 'beer_name': 'Kapittel Prior (2012)', 'is_vintage': 1, 'is_variant': 0}}, {'beer': {'bid': 1447680, 'beer_label': 'https://untappd.akamaized.net/site/beer_logos/beer-23181_4c7ad_sm.jpeg', 'beer_slug': 'brouwerij-van-eecke-kapittel-prior-1990', 'beer_name': 'Kapittel Prior (1990)', 'is_vintage': 1, 'is_variant': 0}}]",3.51565,False
0,6.0,Ale brewed with lemon peel and infused with expresso,0,https://untappd.akamaized.net/site/beer_logos/beer-_23180_sm_c86b302910c9165b24af1ba897e819.jpeg,,Giddy Up!,new-belgium-brewing-company-giddy-up,Spiced / Herbed Beer,23180,905,https://untappd.akamaized.net/site/brewery_logos/brewery-905_2ddc7.jpeg,New Belgium Brewing Company,new-belgium-brewing-company,Micro Brewery,http://www.facebook.com/newbelgium,newbelgium,http://www.newbelgium.com,United States,Fort Collins,CO,40.5934,-105.067,"Sun, 09 Jan 2011 13:17:51 +0000",0,1,,,,6694,3.48346,,1,9859,7502,0,,,,,,,,,,,0.0,[],3.49075,False
