auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Espresso Stout,beer-works-boston-salem-hingham-lowell-framingham-espresso-stout,Stout - American,29410,158,https://untappd.akamaized.net/site/brewery_logos/brewery-BeerWorks_158.jpeg,"Beer Works (Boston, Salem, Hingham, Lowell, Framingham)",beer-works-boston-salem-hingham-lowell-framingham,Micro Brewery,,beer_works,http://www.beerworks.net,United States,Boston,MA,42.347,-71.0988,,,"Tue, 08 Feb 2011 22:38:36 +0000",0,0,,,,149,3.62584,,0,200,174,0,0,[],3.6335,False
0,5.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Espresso Stout,beer-works-boston-salem-hingham-lowell-framingham-espresso-stout,Stout - American,29410,158,https://untappd.akamaized.net/site/brewery_logos/brewery-BeerWorks_158.jpeg,"Beer Works (Boston, Salem, Hingham, Lowell, Framingham)",beer-works-boston-salem-hingham-lowell-framingham,Micro Brewery,,beer_works,http://www.beerworks.net,United States,Boston,MA,42.347,-71.0988,,,"Tue, 08 Feb 2011 22:38:36 +0000",0,0,29410.0,"Thu, 01 Jan 1970 00:00:00 +0000",29411.0,149,3.62584,,0,200,174,0,0,[],3.6335,False
0,5.7,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Blacker Cracker,spring-house-brewing-company-blacker-cracker,IPA - Black / Cascadian Dark Ale,29913,1182,https://untappd.akamaized.net/site/brewery_logos/brewery-SpringHouseBrewingCompany_1182.jpeg,Spring House Brewing Company,spring-house-brewing-company,Micro Brewery,http://www.facebook.com/pages/Taproom-by-Spring-House-Brewing-Co/170106599701946,SpringHouseBeer,http://www.springhousebeer.com,United States,Lancaster,PA,40.0302,-76.3084,,,"Sat, 12 Feb 2011 02:23:21 +0000",0,1,29913.0,"Fri, 27 Jan 2012 20:11:59 +0000",29412.0,30,3.68333,,0,64,43,0,0,[],3.65056,False
0,0.0,"Light, golden ale with a hint of honey. ABV4.2",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Oxley Ale,milestone-brewing-co-oxley-ale,Golden Ale,29413,4173,https://untappd.akamaized.net/site/brewery_logos/brewery-MilestoneBrewingCo_4173.jpeg,Milestone Brewing Co,milestone-brewing-co,Micro Brewery,https://www.facebook.com/milestonebrewerycromwell/,MilestoneBrewi1,http://www.milestonebrewery.co.uk/,England,Newark,Nottinghamshire,53.1706,-0.807149,,,"Tue, 08 Feb 2011 22:41:35 +0000",0,1,,,,2,0.0,,0,4,4,0,0,[],3.56383,False
0,7.3,,0,https://untappd.akamaized.net/site/beer_logos/beer-TomFoolery_27683.jpeg,,TomFoolery,terrapin-beer-co-tomfoolery,Saison / Farmhouse Ale,27683,1243,https://untappd.akamaized.net/site/brewery_logos/brewery-1243_f9dda.jpeg,Terrapin Beer Co. ,terrapin-beer-co,Micro Brewery,http://www.facebook.com/terrapinbeerco,TerrapinBeerCo,http://terrapinbeer.com/,United States,Athens,GA,33.9804,-83.3957,,,"Sun, 30 Jan 2011 19:50:02 +0000",0,1,27683.0,"Thu, 01 Jan 1970 00:00:00 +0000",29414.0,446,3.50729,,1,830,732,0,0,[],3.56563,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Maclay's 90/?,clockwork-beer-co-maclay-s-90,Extra Special / Strong Bitter,29415,6516,https://untappd.akamaized.net/site/brewery_logos/brewery-6516_83433.jpeg,Clockwork Beer Co,clockwork-beer-co,Brew Pub,http://www.facebook.com/TheClockworkBeerCompany,clockworkbeerco,http://www.clockworkbeercompany.co.uk,Scotland,Glasgow,City of Glasgow,55.8231,-4.25868,,,"Tue, 08 Feb 2011 22:53:05 +0000",0,1,,,,0,0.0,,0,1,1,0,0,[],3.59537,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Milk Chocolate Stout,beer-works-boston-salem-hingham-lowell-framingham-milk-chocolate-stout,Stout - American,29416,158,https://untappd.akamaized.net/site/brewery_logos/brewery-BeerWorks_158.jpeg,"Beer Works (Boston, Salem, Hingham, Lowell, Framingham)",beer-works-boston-salem-hingham-lowell-framingham,Micro Brewery,,beer_works,http://www.beerworks.net,United States,Boston,MA,42.347,-71.0988,,,"Tue, 08 Feb 2011 23:10:29 +0000",0,0,,,,117,3.55556,,6,160,151,0,0,[],3.62451,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Doppelbock,coddington-brewing-company-doppelbock,Doppelbock ,29417,6972,https://untappd.akamaized.net/site/brewery_logos/brewery-CoddingtonBrewingCompany_6972.jpeg,Coddington Brewing Company,coddington-brewing-company,Brew Pub,,,http://www.coddbrew.com/,United States,Middletown,RI,41.5185,-71.3056,,,"Tue, 08 Feb 2011 23:16:47 +0000",0,1,,,,107,3.48364,,0,130,126,0,0,[],3.60681,False
0,7.8,"Smoked blonde ale.
Fermentation: Haute
M?thode de fermentation: De garde
OGM: Sans",0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Tourb?e,la-belle-tourbee,Blonde Ale,252692,43471,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,La Belle,la-belle,Micro Brewery,,,,France,,,0.0,0.0,,,"Fri, 26 Oct 2012 00:36:54 +0000",0,1,252692.0,"Tue, 07 Apr 2015 21:38:18 +0000",29418.0,6,0.0,,0,9,8,0,0,[],3.58049,False
0,3.6,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Cavendish Dark,shardlow-brewing-co-ltd-cavendish-dark,English Mild Ale,29419,7958,https://untappd.akamaized.net/site/brewery_logos/brewery-7958_18d16.jpeg,Shardlow Brewing Company,shardlow-brewing-company,Micro Brewery,,,,England,Cavendish Bridge,Leicestershire DE72 2HL,52.8644,-1.33568,,,"Tue, 08 Feb 2011 23:33:46 +0000",0,1,,,,50,3.385,,3,59,56,0,0,[],3.6135,False
