auth_rating,beer_abv,beer_description,beer_ibu,beer_label,beer_label_hd,beer_name,beer_slug,beer_style,bid,brewery.brewery_id,brewery.brewery_label,brewery.brewery_name,brewery.brewery_slug,brewery.brewery_type,brewery.contact.facebook,brewery.contact.twitter,brewery.contact.url,brewery.country_name,brewery.location.brewery_city,brewery.location.brewery_state,brewery.location.lat,brewery.location.lng,collaborations_with.count,collaborations_with.items,created_at,is_homebrew,is_in_production,merge_details.master_bid,merge_details.merge_date,merge_details.requested_bid,rating_count,rating_score,rating_score_below,stats.monthly_count,stats.total_count,stats.total_user_count,stats.user_count,vintage_parent.beer.beer_abv,vintage_parent.beer.beer_name,vintage_parent.beer.beer_slug,vintage_parent.beer.bid,vintage_parent.beer.type_id,vintages.count,vintages.items,weighted_rating_score,wish_list
0,5.6,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Stuttgarter Hofbr?u Export,stuttgarter-hofbrau-radeberger-gruppe-stuttgarter-hofbrau-export,Lager - Euro,30897,8208,https://untappd.akamaized.net/site/brewery_logos/brewery-StuttgarterHofbrauRadebergerGruppe_8208.jpeg,Stuttgarter Hofbr?u,stuttgarter-hofbrau,Micro Brewery,http://www.facebook.com/StuttgarterHofbraeu?ref=ts,,http://www.stuttgarter-hofbraeu.de,Germany,Stuttgart,,48.762,9.15669,,,"Tue, 15 Feb 2011 23:31:27 +0000",0,1,,,,224,3.20201,,15,341,263,0,,,,,,0.0,[],3.46095,False
0,6.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Tesco Finest Traditional Porter,tesco-stores-ltd-tesco-finest-traditional-porter,Porter - Other,30898,3018,https://untappd.akamaized.net/site/brewery_logos/brewery-3018_1f8be.jpeg,Tesco Stores Ltd.,tesco-stores-ltd,Bar / Restaurant / Store,,,,England,Welwyn Garden City,"AL7 1GA,",51.8098,-0.194524,1.0,"[{'brewery': {'brewery_id': 638, 'brewery_name': 'Harviestoun Brewery', 'brewery_type': 'Micro Brewery', 'brewery_label': 'https://untappd.akamaized.net/site/brewery_logos/brewery-harviestounbrewery_638.jpeg', 'country_name': 'Scotland', 'location': {'brewery_city': 'Alva', 'brewery_state': 'Clackmannanshire'}}}]","Tue, 15 Feb 2011 23:31:59 +0000",0,1,,,,313,3.69489,,4,543,352,0,,,,,,0.0,[],3.67323,False
0,2.6,,0,https://untappd.akamaized.net/site/beer_logos/beer-StuttgarterHofbrauRadler_30899.jpeg,,Stuttgarter Hofbr?u Das Radler,stuttgarter-hofbrau-radeberger-gruppe-stuttgarter-hofbrau-das-radler,Shandy / Radler,30899,8208,https://untappd.akamaized.net/site/brewery_logos/brewery-StuttgarterHofbrauRadebergerGruppe_8208.jpeg,Stuttgarter Hofbr?u,stuttgarter-hofbrau,Micro Brewery,http://www.facebook.com/StuttgarterHofbraeu?ref=ts,,http://www.stuttgarter-hofbraeu.de,Germany,Stuttgart,,48.762,9.15669,,,"Tue, 15 Feb 2011 23:33:14 +0000",0,1,,,,183,3.1571,,21,259,232,0,,,,,,0.0,[],3.46626,False
0,9.0,"This classic Belgian 
styled ale has a 
crisp blond color 
with a rich estry 
fruitiness and a hint 
of Belgium candy 
sugar, leading to 
a warming dry spice, 
seductively lingering 
on the finish. ",0,https://untappd.akamaized.net/site/beer_logos/beer-30900_9de7a_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-30900_fd7a6_hd.jpeg,Belgian Style Tripel Ale,defiant-brewing-co-belgian-style-tripel-ale,Belgian Tripel,30900,3356,https://untappd.akamaized.net/site/brewery_logos/brewery-3356_95af8.jpeg,Defiant Brewing Co.,defiant-brewing-co,Micro Brewery,http://www.facebook.com/pages/Defiant-Brewing-Company/84227386894,DefiantBrewing,http://defiantbrewing.com,United States,Pearl River,NY,41.0602,-74.0231,,,"Tue, 15 Feb 2011 23:34:34 +0000",0,1,,,,1458,3.73405,,17,1933,1703,0,,,,,,0.0,[],3.71971,False
0,0.5,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Stuttgarter Hofbr?u Alkoholfrei,stuttgarter-hofbrau-radeberger-gruppe-stuttgarter-hofbrau-alkoholfrei,Non-Alcoholic,30901,8208,https://untappd.akamaized.net/site/brewery_logos/brewery-StuttgarterHofbrauRadebergerGruppe_8208.jpeg,Stuttgarter Hofbr?u,stuttgarter-hofbrau,Micro Brewery,http://www.facebook.com/StuttgarterHofbraeu?ref=ts,,http://www.stuttgarter-hofbraeu.de,Germany,Stuttgart,,48.762,9.15669,,,"Tue, 15 Feb 2011 23:35:04 +0000",0,1,,,,35,2.50714,,4,52,40,0,,,,,,0.0,[],3.53322,False
0,5.4,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Stuttgarter Hofbr?u Fr?hlingsfest-Bier,stuttgarter-hofbrau-radeberger-gruppe-stuttgarter-hofbrau-fruhlingsfest-bier,M?rzen,30902,8208,https://untappd.akamaized.net/site/brewery_logos/brewery-StuttgarterHofbrauRadebergerGruppe_8208.jpeg,Stuttgarter Hofbr?u,stuttgarter-hofbrau,Micro Brewery,http://www.facebook.com/StuttgarterHofbraeu?ref=ts,,http://www.stuttgarter-hofbraeu.de,Germany,Stuttgart,,48.762,9.15669,,,"Tue, 15 Feb 2011 23:37:42 +0000",0,1,,,,240,3.43542,,77,360,265,0,,,,,,0.0,[],3.55632,False
0,5.4,,0,https://untappd.akamaized.net/site/beer_logos/beer-30903_0b253_sm.jpeg,https://untappd.akamaized.net/site/beer_logos_hd/beer-30903_c0996_hd.jpeg,Stuttgarter Hofbr?u Volksfestbier,stuttgarter-hofbrau-stuttgarter-hofbrau-volksfestbier,Festbier,30903,8208,https://untappd.akamaized.net/site/brewery_logos/brewery-StuttgarterHofbrauRadebergerGruppe_8208.jpeg,Stuttgarter Hofbr?u,stuttgarter-hofbrau,Micro Brewery,http://www.facebook.com/StuttgarterHofbraeu?ref=ts,,http://www.stuttgarter-hofbraeu.de,Germany,Stuttgart,,48.762,9.15669,,,"Tue, 15 Feb 2011 23:40:42 +0000",0,1,,,,501,3.51098,,54,776,615,0,,,,,,0.0,[],3.56395,False
0,0.0,,0,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Eudaemonia Nut Brown #1,eudaemonia-brewing-eudaemonia-nut-brown-1,Brown Ale - American,30904,6924,https://untappd.akamaized.net/site/assets/images/temp/badge-brewery-default.png,Eudaemonia Brewing,eudaemonia-brewing,Home Brewery,,,,United States,,,0.0,0.0,,,"Tue, 15 Feb 2011 23:41:11 +0000",1,1,,,,0,0.0,,0,3,3,0,,,,,,0.0,[],3.786,False
0,3.8,"Dark in color, yet our lightest beer. Smooth with a slight roasty, chocolate flavor.

A mild, easy drinking ""session"" beer with a complex flavor. The chocolate and nutty character is flavorful yet not too heavy. There is very little hop bitterness and the finish is smooth and pleasant.",14,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Bryson City Brown,nantahala-brewing-company-inc-bryson-city-brown,English Mild Ale,30905,8211,https://untappd.akamaized.net/site/brewery_logos/brewery-NantahalaBrewingCompanyInc_8211.jpeg,"Nantahala Brewing Company, Inc.",nantahala-brewing-company-inc,Micro Brewery,http://www.facebook.com/nantahalabrewing,nantahalabrew,http://www.nantahalabrewing.com,United States,Bryson City,NC,35.4312,-83.4461,,,"Tue, 15 Feb 2011 23:45:15 +0000",0,1,,,,2290,3.60644,,78,2841,2569,0,,,,,,0.0,[],3.61171,False
0,7.0,A single-hop pale ale brewed with El Dorado hops.,45,https://untappd.akamaized.net/site/assets/images/temp/badge-beer-default.png,,Cortez,three-floyds-brewing-company-cortez,Pale Ale - American,30906,2470,https://untappd.akamaized.net/site/brewery_logos/brewery-2470_90eff.jpeg,3 Floyds Brewing Company,3-floyds-brewing-company,Micro Brewery,https://www.facebook.com/3floyds,3floyds,http://www.3floyds.com/,United States,Munster,IN,41.5355,-87.5167,,,"Wed, 16 Feb 2011 00:11:43 +0000",0,1,,,,10,3.7,,0,35,30,0,,,,,,0.0,[],3.5998,False
